,ep_reward,steps,avg_reward
427,262.8575905868578,267,130.41804735172008
428,280.2411667813251,320,132.81221709717124
429,-59.984446983055086,348,132.5758736694287
430,238.56123712135022,380,134.15841827739175
431,-19.468985682196134,308,134.00068532535212
432,247.50025364144406,335,133.63176984247647
433,239.81699028043136,220,135.19285429176452
434,217.23110524299972,376,136.38203474828507
435,260.7350862168474,247,138.52149296507508
436,247.20374599695197,201,139.67889772123831
437,282.7032989186174,240,142.0004579773978
438,250.2258304103898,279,143.18678738720064
439,168.1369879140858,638,142.38583280393328
440,257.1491690851334,206,142.44775767959018
441,250.52686680240822,309,142.66378822880802
442,288.851737244324,229,143.20665360282666
443,207.22345050382427,671,142.76932940613693
444,-52.87754130877748,148,139.61558815821215
445,279.9832777362868,235,139.91899395359033
446,-36.526407460738426,217,136.96923520948425
447,286.4561156388953,237,137.57144421829264
448,244.58216166583958,165,137.23488242973383
449,265.6851454453124,226,137.26959338536093
450,236.45250006333214,207,136.96502183831933
451,179.4218364353589,466,136.061941622033
452,271.1376816799882,201,136.1138151424265
453,287.2266968082742,229,136.28044890671276
454,312.42342600908216,247,136.7508710712824
455,-101.1722080580495,388,133.41953154286995
456,286.2836045232058,559,133.64252102673083
457,296.28591413221613,348,135.51146798112615
458,229.9458499511216,409,135.45379650292804
459,-75.61096394286936,157,134.23199691844204
460,302.023072768519,267,135.006134634702
461,297.97161512618067,244,138.15311701204348
462,274.2284303966786,231,138.51974228572237
463,262.1976785702477,157,138.315002490116
464,282.6989019252696,234,138.45993444239298
465,236.65078438286687,182,138.49372048061971
466,291.16352129333944,198,139.94974400582177
467,264.32585593823933,216,140.8695771932702
468,291.33952544520537,154,141.5974348649102
469,-103.61946463106837,420,141.77298888096803
470,250.38200697386205,206,143.57244867449504
471,249.013593737576,197,146.7119916652432
472,257.36089109948955,480,150.9553737220118
473,231.53639972570647,386,153.7030370521204
474,259.27681176311967,669,156.65806245144404
475,275.918363227765,196,160.18271211844691
476,-61.40505665400738,227,160.4340664511166
477,256.68159697477785,493,164.18185903834686
478,68.5092253599139,999,166.1853513479969
479,284.24412844533936,262,169.61722611644979
480,292.62305674432855,225,174.74971625657486
481,-55.748508184566106,213,174.7836172011592
482,243.80621689998466,324,178.26244359959114
483,288.55233057131613,609,181.78535380211105
484,265.6792375769743,179,185.59133705083622
