,ep_reward,avg_reward
83,-77.07058466502225,-256.63344570336915
84,201.59486445459825,-251.24252440739306
85,-71.84204123648098,-249.1564722774987
86,135.99051845662242,-244.7294953725088
87,236.60513467180178,-239.25978366745983
88,-148.7207681643326,-238.24249135843593
89,2.036861972505079,-235.57272076586992
90,0.5585332148359043,-232.97787182102698
91,-46.98729441299349,-230.9562351100701
92,-71.33471640850618,-229.23987469392426
93,3.568108470679533,-226.76319402196037
94,-25.81573102332672,-224.64795756934316
95,3.0816111709695235,-222.2757745616316
96,22.144056181036703,-219.75598249211956
97,-45.790608242496575,-217.98082561202136
98,-128.21274124382907,-217.0740772850699
99,-29.100503801242482,-215.19434155023163
100,-73.27390001216826,-213.44979508150894
101,-131.45165702773343,-211.8037972450551
102,278.1739450948553,-207.87806974369792
103,217.087834841623,-204.31300128561261
104,26.56999867275647,-202.83349731264633
105,-63.35755521548444,-200.5166697419943
106,-54.814007933242486,-197.57586979659104
107,-26.906308884635408,-181.79453281523664
108,-70.36937869462258,-174.1088834770378
109,6.8624789098880115,-167.62793884264607
110,280.07502163778497,-158.96736614669658
111,-16.838934658561783,-152.44285751700457
112,-75.73479535997058,-147.29598798126227
113,-84.42433961755376,-143.32697237220864
114,-20.61415978422825,-140.76365928862094
115,273.25161096514995,-135.73672703124328
116,54.46106741796564,-131.7679252917688
117,52.18699392299075,-127.77842283197865
118,279.49305626608225,-122.02595001974363
119,6.832383010321266,-119.48542224886471
120,248.46845142941982,-114.22604288600489
121,228.24758609035348,-109.26510181974629
122,271.2216894786577,-103.60403453423955
123,251.04728779342656,-98.32603587839141
124,236.98585596389916,-94.34267785212792
125,190.80235506591464,-90.49845012154947
126,181.39508508330903,-86.01851151948937
127,282.05677780893706,-80.53804733082838
128,196.0432144349076,-75.09398909537964
129,268.75618563124135,-69.99737431349637
130,184.82170425093688,-62.35381993967891
131,235.0904344711772,-55.414509971137846
132,-71.36596185511048,-49.995029848836424
133,-188.52556046519078,-47.31569228049272
134,-106.72961952328144,-43.73863301468745
135,177.32741207286074,-37.46558166464907
136,290.5295310420277,-31.274865687012067
137,238.5964065999416,-23.934410554899177
138,-103.26624639300299,-21.637146183577997
139,267.3259170629243,-16.343985136528048
140,-97.83298713070704,-14.022827582951988
141,249.8049489344196,-6.646872732029096
142,-155.66466589343665,-3.058006878503363
143,-75.75902014367996,-1.6645804452738928
144,266.19096083798837,3.137397036268608
145,160.29199444512105,6.63179071065001
146,-3.8169868536861316,8.914249612958686
147,238.70079390902276,13.96306170158939
148,241.6782985919045,21.06262782928808
149,255.55830972015954,26.154545051239225
150,258.7099746347899,31.91488036594618
151,222.23716170125562,37.03758635377685
152,297.2866725853503,40.318884057337044
153,200.4539254538758,42.74182635587911
154,187.5787924379413,45.21061406292965
155,247.50861014893604,48.470756596891555
156,285.4680274522756,52.72583780429064
157,185.90486457108193,55.50860635273534
158,-7.50741832583229,55.789427731121
159,250.74572153034916,58.83850791885721
160,122.77219668090483,61.33668515232544
161,40.41726859342387,63.19258510147429
162,206.96944751607714,66.45883251574205
163,23.070004596114202,67.83536554772135
164,17.584940694517954,68.93247103905688
165,151.84689821621023,71.07375028964375
166,152.85784588123437,73.67841333970499
167,254.99606179786213,76.9080274400566
168,-28.94377220363282,78.04319644489904
169,-27.278789489875578,81.45326968298328
170,-12.638531555182512,82.81706370655482
171,-15.4259594682007,84.40923624566977
172,-67.73855874212286,85.91021068777242
173,-16.385119991113143,86.30821520784284
