,ep_reward,steps,avg_reward
208,-266.16427542426106,101,-154.73533174442352
209,-245.17019241887843,120,-156.22415032760816
210,-263.84629746294985,247,-158.22332975148245
211,-132.27517500539506,216,-158.3503363778314
212,-340.043995386465,110,-158.21841042772917
213,-17.086881362849137,500,-157.0952621568229
214,3.1545132034994583,500,-154.92166064088252
215,-169.96817633938502,467,-155.04534830142012
216,18.763022815663824,500,-153.6750926600179
217,-9.88143166175349,500,-151.5999478329555
218,-88.13642472233975,237,-151.52287691645347
219,-261.3181658984575,217,-153.71633134729666
220,-81.57354031437545,500,-154.6514487796618
221,-146.6742208247658,375,-155.55774097000747
222,40.5147071096238,500,-154.94223696197977
223,-259.5962831738658,84,-155.46377813768325
224,-254.47023340833616,128,-157.5725564873455
225,-299.13357154532713,80,-159.99028940217903
226,-317.0656939947461,77,-163.75035450115197
227,-135.31782421857153,246,-165.09381836635166
228,52.43668094795227,500,-164.35216093788011
229,27.52879384195823,500,-164.24122479794434
230,48.152732232832705,500,-162.76278236714964
231,-138.0114797219906,110,-163.19320616033798
232,57.52989188850816,500,-160.92143064138597
233,-21.002865439188415,500,-158.90417691888723
234,15.665045349384965,500,-156.09501675838578
235,-48.92734058174961,500,-154.34721525264885
236,-126.79997716105262,176,-153.5565211796101
237,-154.91145642799844,349,-153.05493149742594
238,-250.11105646675702,261,-155.59577027845936
239,-31.582491009460888,500,-154.1399475606604
240,36.082922761629696,500,-152.48097386971946
241,-152.2829187270837,392,-144.1957706241177
242,-7.442552182770624,500,-142.71366800792305
243,-249.95167768821443,403,-145.00230924030703
244,-198.5267435304963,417,-146.79374931623167
245,-194.52117887706703,132,-146.4935305905429
246,-184.7762343726674,182,-145.65243394160044
247,-85.83816756194852,500,-143.5727734848403
248,34.54268653412285,500,-140.730724502968
249,-83.35368914897741,500,-141.5339008636118
250,-155.62282435657548,110,-143.74526655956646
251,-158.81528189583165,180,-142.71067597172586
252,-212.72129787968407,182,-142.57487887780013
253,-155.1728024101799,148,-141.19916477131545
254,-124.23401814609417,220,-139.43356748637075
255,-188.88860619969512,240,-139.49714517267574
256,-208.89087299293817,176,-141.4631159647617
257,-243.8019932539326,123,-141.51147858432267
258,-205.02383723521302,107,-141.22654218732583
259,-100.36070989919565,160,-139.81733461393722
260,72.9524766816609,500,-137.98354185908883
261,-167.60492578408378,379,-139.0232021894166
262,94.6046662493986,500,-138.08003086981836
263,29.679686016462153,500,-137.43358314547766
264,60.896654594439894,500,-135.6823407132744
265,68.61832645185393,500,-134.5544992047897
266,-124.74194741745367,184,-134.6733868567515
267,-123.7417431098113,308,-134.12010415744984
268,36.223912373624614,500,-131.6429475716078
269,-4.23125704719274,500,-128.5887661156792
270,121.55407313643143,500,-125.01523529946519
271,105.9743109417316,500,-121.55942869864177
272,43.1034409686298,500,-118.28466566725977
273,67.19648076097735,500,-115.30102939886677
274,50.287679532275085,500,-113.1470471816971
275,-100.97385126678043,129,-112.63630868076703
276,55.73419013932216,500,-112.3807006871831
277,-113.22828301057912,238,-112.15269962601018
278,33.48278384452972,500,-109.64213906222672
279,87.85825943411602,500,-106.17403096334952
280,-16.992974886326678,126,-103.7594763804254
281,-99.52996248039821,162,-103.12140840358119
282,-99.67735770302943,198,-102.34738309823204
283,79.93818227871225,500,-98.53903641885725
284,21.105793980840627,500,-94.54068158729552
285,-96.58382087708365,179,-93.30795984270772
286,-98.10922118750973,325,-92.2977174435697
287,-27.859183180255997,172,-92.11958227385507
288,-198.10057391806927,88,-94.06131836889632
289,-186.02394597695786,103,-92.72025167615844
290,-95.95737159532575,174,-89.21734610649942
291,59.076042800661455,500,-85.10537494613209
292,71.63428152729412,500,-81.68488486222527
293,-30.602507791499367,500,-78.38916353241811
294,-139.3137680509804,287,-77.3541828328735
295,104.09219754030212,500,-75.0422740244296
296,-4.472858456624362,500,-74.45849055072938
297,13.070376504246926,500,-70.77146849086066
298,-1.5000295479236658,500,-69.97092630870989
299,-276.5956152698623,94,-73.17452457888378
300,-116.54922708531159,147,-74.43680457035347
301,45.19350337490395,500,-74.78046499269844
302,0.5630502115163928,500,-75.34862549897696
303,13.844791967232645,500,-75.80668445580238
304,-9.53922041151769,208,-75.2854663115605
305,-22.108811877984245,500,-75.90716119361781
306,-322.65934219160647,100,-79.32806475843884
307,36.695969070711634,500,-77.38240129386602
308,7.747083525800495,500,-74.6432877043654
309,53.84874697706115,500,-71.65309831040601
310,-9.390649738614936,500,-69.10854183316266
311,-62.74358087945242,500,-68.41322589190322
312,-131.14364424576132,137,-66.32422238049621
313,-115.6836183204155,339,-67.31018975007187
314,-180.3657789320619,309,-69.14539267142749
315,-129.08562781337832,168,-68.7365671861674
316,-176.1121658931637,325,-70.68531907325568
317,-139.65755456066304,325,-71.98308030224477
318,-99.93003118016449,381,-72.10101636682302
319,-41.354414854616195,453,-69.90137885638461
320,-170.13549871371248,257,-70.78699844037797
321,-178.64237527486898,205,-71.10667998487901
322,-63.370345290204824,116,-72.1455305088773
323,125.72741587821622,500,-68.29229351835649
324,-157.9604952656707,197,-67.3271961369298
325,185.29471781134617,416,-62.48291324336309
326,-61.3763815068685,74,-59.92602011848431
327,-52.632453723335395,113,-59.099166413531954
328,-141.59516604126924,143,-61.03948488342416
329,256.2852040624747,242,-58.751920781219006
330,-46.5969338149577,189,-59.69941744169691
331,-123.90054072190125,358,-59.558308051696024
332,-148.87562382501372,187,-61.62236320883122
333,-178.86763768611266,254,-63.20101093130048
334,28.129290387093693,500,-63.076368480923385
335,66.03940815116289,500,-61.92670099359426
336,-157.1856275036014,261,-62.23055749701975
337,-155.8269975174723,295,-62.23971290791449
338,-194.32004980378687,438,-61.68180284128479
339,-37.546105682217025,119,-61.74143898801235
340,-147.79935912922627,235,-63.58026180692091
341,-119.12199398808224,102,-63.24865255953088
342,-120.83345892435138,471,-64.3825616269467
343,-205.201519936077,88,-63.93506004942532
344,-206.34269386940758,85,-64.01321955281443
345,-108.52631134837588,140,-63.15327087752752
346,-143.6801194972734,500,-62.74230972877359
347,50.32797601753954,500,-61.38064829297871
348,48.32650694999115,500,-61.24281008882002
349,-16.25935541193809,343,-60.57186675144963
350,58.12882909490174,500,-58.434350216934874
351,45.08594535856046,500,-56.39533794439094
352,-175.04518970509946,208,-56.018576862645105
353,61.08357467266901,500,-53.856013091816614
354,-66.98411713078063,156,-53.28351408166347
355,-41.66225589863499,73,-51.811250578652874
356,-13.431525792760013,99,-49.856657106651085
